source_file,team_code,tournament_name,round_number,side,opponent,win_loss,judge,num_positions,num_adv_inh_solv,num_offs,num_cards_total,num_cards_with_highlight,total_highlighted_words,parse_confidence,warnings,tournament_source
Emory-CrTa-Aff-1---Northwestern-Round-2.docx,Michigan CA,Northwestern,2,aff,1,,,0,0,0,0,0,0,low,no_matching_team_row_in_tournament_csv,Northwestern
Emory-CrTa-Aff-1---Northwestern-Round-3.docx,Michigan CA,Northwestern,3,aff,1,,,4,4,0,0,0,0,low,no_matching_team_row_in_tournament_csv,Northwestern
Emory-CrTa-Aff-1---Northwestern-Round-5.docx,Michigan CA,Northwestern,5,aff,1,,,4,4,0,0,0,0,low,no_matching_team_row_in_tournament_csv,Northwestern
Emory-CrTa-Aff-1---Northwestern-Round-8.docx,Michigan CT,Northwestern,8,aff,1,,,4,4,0,0,0,0,low,no_matching_team_row_in_tournament_csv,Northwestern
Emory-CrTa-Neg-1---Northwestern-Round-1.docx,Michigan CA,Northwestern,1,neg,1,,,7,0,7,3,3,371,low,no_matching_team_row_in_tournament_csv,Northwestern
Emory-CrTa-Neg-1---Northwestern-Round-4.docx,Michigan AC,Northwestern,4,neg,1,,,4,0,4,3,3,759,low,no_matching_team_row_in_tournament_csv,Northwestern
Emory-CrTa-Neg-1---Northwestern-Round-6.docx,Michigan AC,Northwestern,6,neg,1,,,3,0,3,9,9,1391,low,no_matching_team_row_in_tournament_csv,Northwestern
Emory-CrTa-Neg-1---Northwestern-Round-7.docx,Michigan CT,Northwestern,7,neg,1,,,3,0,3,2,2,138,low,no_matching_team_row_in_tournament_csv,Northwestern
Emory-SoWa-Aff-Northwestern-Round-1.docx,Michigan SW,Northwestern,1,aff,Northwestern,,,4,4,0,0,0,0,low,ambiguous_matching_team_rows_in_tournament_csv,Northwestern
Emory-SoWa-Aff-Northwestern-Round-3.docx,Michigan SW,Northwestern,3,aff,Northwestern,,,6,6,0,0,0,0,low,ambiguous_matching_team_rows_in_tournament_csv,Northwestern
Emory-SoWa-Aff-Northwestern-Round-6.docx,Michigan AS,Northwestern,6,aff,Northwestern,,,6,6,0,0,0,0,low,ambiguous_matching_team_rows_in_tournament_csv,Northwestern
Emory-SoWa-Aff-Northwestern-Round-7.docx,Michigan SW,Northwestern,7,aff,Northwestern,,,6,6,0,0,0,0,low,ambiguous_matching_team_rows_in_tournament_csv,Northwestern
Emory-SoWa-Neg-Northwestern-Round-2.docx,Michigan SA,Northwestern,2,neg,Northwestern,,,0,0,0,0,0,0,low,ambiguous_matching_team_rows_in_tournament_csv,Northwestern
Emory-SoWa-Neg-Northwestern-Round-4.docx,Michigan SA,Northwestern,4,neg,Northwestern,,,0,0,0,0,0,0,low,ambiguous_matching_team_rows_in_tournament_csv,Northwestern
Emory-SoWa-Neg-Northwestern-Round-5.docx,Michigan WS,Northwestern,5,neg,Northwestern,,,0,0,0,0,0,0,low,ambiguous_matching_team_rows_in_tournament_csv,Northwestern
